date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
02-01-1993,NA,116.9667,19.7,NA,Hong Kong - Luzon - Hainan,CHN,TWN,357.5023726,115.8259561,22.74664352,NA,Mv Cosmic Leader,NA,NA,mappingpiracy
04-01-1993,NA,116,22.35,NA,Hong Kong - Luzon - Hainan,CHN,CHN,47.43157252,115.8259561,22.74664352,NA,Mv Tricolor Star III,NA,NA,mappingpiracy
06-01-1993,NA,115.25,19.67,NA,Hong Kong - Luzon - Hainan,CHN,TWN,280.8118709,114.3025008,22.04486726,NA,Mv Arktis Star,NA,NA,mappingpiracy
08-01-1993,NA,124.5833,29.9,NA,East China Sea,CHN,CHN,209.9233962,122.4096786,29.91120026,NA,Ussurijsk,NA,NA,mappingpiracy
12-01-1993,NA,120.2667,18.1333333,NA,Hong Kong - Luzon - Hainan,PHL,PHL,22.02733208,120.4700627,18.09100983,NA,Mv Chennai Nermai,NA,NA,mappingpiracy
13-01-1993,NA,101.85,9.7173,NA,Gulf of Thailand. South China Sea,KHM,KHM,184.7966407,103.2921656,10.58315664,NA,Emelyan Yaroslavskiy,NA,NA,mappingpiracy
25-01-1993,NA,106.8667,8.5666667,NA,South China Sea,VNM,VNM,27.43734378,106.6557723,8.698879299,NA,Mv Indira Ghandhi,NA,NA,mappingpiracy
26-01-1993,NA,123.5,29,NA,East China Sea,CHN,CHN,141.5155643,122.3951929,29.8333194,NA,Mt Petrobulk Panther,NA,NA,mappingpiracy
26-01-1993,NA,13.25,-8.8,NA,"Luanda, Angola",AGO,AGO,0.509215669,13.24537194,-8.800062758,NA,Mv Bodrog,NA,Anchored,mappingpiracy
26-01-1993,NA,119.4,4.4333333,NA,South China Sea,PHL,PHL,25.37858765,119.4565536,4.655707098,NA,Mv Southern King,NA,NA,mappingpiracy
27-01-1993,NA,13.25,-8.8,NA,"Port of Luanda, Angola",AGO,AGO,0.509215669,13.24537194,-8.800062758,NA,NA,NA,NA,mappingpiracy
04-02-1993,NA,123.1667,25.75,NA,East China Sea,NA,NA,34.60225313,123.5114852,25.7580834,NA,Sukhinichi,NA,NA,mappingpiracy
05-02-1993,NA,7.2267,5.0016667,NA,"Bonny Anchorage, Nigeria",NGA,NGA,31.94602534,7.071787957,4.758124091,NA,Mv Norgas Navigator,NA,Anchored,mappingpiracy
06-02-1993,NA,118.1667,16.5833333,NA,Hong Kong - Luzon - Hainan,PHL,PHL,174.7366959,119.7578231,16.21670157,NA,Mv Hulpha Kluang,NA,NA,mappingpiracy
15-02-1993,NA,121.2995,38.6974,NA,7.4 miles SE of Waglan. South China Sea,CHN,CHN,9.412733696,121.1984969,38.72785065,NA,Mv Marine Peace,NA,NA,mappingpiracy
16-02-1993,NA,118.7167,19.3166667,NA,Hong Kong - Luzon - Hainan,PHL,PHL,214.9032465,120.5608016,18.48676179,NA,Mv Lion,NA,NA,mappingpiracy
16-02-1993,NA,39.3533,-6.775,NA,"Dar-Es-Salam Anchor, Tanzania",TZA,TZA,5.977859498,39.32650801,-6.821954034,NA,Mv Socol 5,NA,NA,mappingpiracy
16-02-1993,NA,111.0333,17.3333333,NA,Hong Kong - Luzon - Hainan,CHN,CHN,107.3275228,111.6028752,16.53335196,NA,Mv Mary Nour,NA,NA,mappingpiracy
16-02-1993,NA,111.2,15.7833333,NA,NA,VNM,VNM,0.475901494,111.1962997,15.78571198,NA,Mt Samuel L. Cobb,NA,NA,mappingpiracy
16-02-1993,NA,39.3533,-6.775,NA,"Dar-Es-Salam Roads, Tanzania",TZA,TZA,5.977859498,39.32650801,-6.821954034,NA,NA,NA,NA,mappingpiracy
18-02-1993,NA,115.25,19.67,NA,Western Luzon. Hong Kong - Luzon - Hainan,CHN,TWN,280.8118709,114.3025008,22.04486726,NA,Mv Aleksandr Tsyurupa,NA,NA,mappingpiracy
25-02-1993,NA,104.4,8.5166667,NA,South China Sea,VNM,VNM,36.79960757,104.722911,8.602687893,NA,Mv Great Amity,NA,NA,mappingpiracy
25-02-1993,NA,124.4333,36.2,NA,East China Sea,KOR,KOR,162.2626611,126.1289169,36.71190013,NA,Mv Komsomolets,NA,NA,mappingpiracy
28-02-1993,NA,67.1457,24.7847,NA,"Base Creek, Anchor. Arabian Sea",PAK,PAK,1.291377263,67.15601647,24.79157136,NA,Mv Alam Sempurna,NA,Anchored,mappingpiracy
01-03-1993,NA,50.5833,8.9333333,NA,Somalia,SOM,SOM,9.93972078,50.49488366,8.951971747,NA,Somalian Glory,NA,NA,mappingpiracy
03-03-1993,NA,120.4667,25.4333333,NA,Taiwan Sea,CHN,CHN,61.08917382,119.8745223,25.55678946,NA,Mv Tulsidas,NA,NA,mappingpiracy
05-03-1993,NA,120.0667,17.6,NA,Hong Kong - Luzon - Hainan,PHL,PHL,28.76509067,120.3338322,17.55638255,NA,Mv Zirje,NA,NA,mappingpiracy
06-03-1993,NA,98.7167,3.8,NA,Straits of Malacca-Indonesia,IDN,IDN,0.793892444,98.71062259,3.803778387,NA,Mv Kavo Sidero,NA,NA,mappingpiracy
19-03-1993,NA,122.7667,37.2833333,NA,East China Sea,CHN,CHN,12.77479324,122.6789657,37.37466055,NA,Mv Sibirskiy 2114,NA,NA,mappingpiracy
21-03-1993,NA,115.25,19.67,NA,SW of Hong Kong. Hong Kong - Luzon - Hainan,CHN,TWN,280.8118709,114.3025008,22.04486726,NA,M69204Y,NA,NA,mappingpiracy
21-03-1993,NA,109.5,15,NA,South China Sea,VNM,VNM,54.13836499,109.0808212,14.72947826,NA,Mt Suci,NA,NA,mappingpiracy
23-03-1993,NA,105.85,3.8166667,NA,South China Sea,IDN,IDN,68.73987072,106.2708439,3.360988674,NA,Mv Kurama,NA,NA,mappingpiracy
23-03-1993,NA,124.3333,26.75,NA,East China Sea,NA,NA,97.18674873,124.5668238,25.89842357,NA,Mv Vsip Pyatnitskiy,NA,NA,mappingpiracy
24-03-1993,NA,-43.1667,-22.8933333,NA,"Anchorage, Rio de Janeiro, Brazil",BRA,BRA,0.539139852,-43.16209876,-22.8956845,NA,Mv Santos Express,NA,Anchored,mappingpiracy
